ISO,Country,MyocardMortality,CerVasMortalty,BreastCancerMort,SciencePISA,MathPISA,ReadPISA,CivJusEnf,CivJusImpEnf,NoViolence,YMyocardMortality,YCerVasMortalty,YBreastCancerMort,YSciencePISA,YMathPISA,YReadPISA,YCivJusEnf,YCivJusImpEnf,YNoViolence
AUS,Australia,36,44.9,22.4,509.9939,493.8962,502.9006,0.820065041,0.903256707,0.711330936,2014,2014,2014,2015,2015,2015,2016,2016,2016
AUT,Austria,42.8,45.4,26.1,495.0375,496.7423,484.8656,0.888585124,0.871514708,0.785592644,2014,2014,2014,2015,2015,2015,2016,2016,2016
BEL,Belgium,34.7,49.4,31.5,501.9997,506.9844,498.5242,0.782373215,0.839633943,0.679096559,2014,2014,2014,2015,2015,2015,2016,2016,2016
CAN,Canada,39.6,37.8,25.4,527.7047,515.6474,526.6678,0.726682062,0.894624327,0.798968545,2014,2014,2014,2015,2015,2015,2016,2016,2016
CHE,Switzerland,48.7,37.2,25.3,505.5058,521.2506,492.1982,,,,2014,2014,2014,2015,2015,2015,2016,2016,2016
CHL,Chile,48.4,77.1,18.7,446.9561,422.6714,458.5709,0.640036866,0.698015469,0.311508463,2014,2014,2014,2015,2015,2015,2016,2016,2016
CZE,Czech Republic,22.7,86.9,23.4,492.83,492.3254,487.2501,0.692123655,0.790396676,0.816521183,2014,2014,2014,2015,2015,2015,2016,2016,2016
DEU,Germany,43.2,46.6,28.4,509.1406,505.9713,509.1041,0.894354117,0.91679557,0.712039745,2014,2014,2014,2015,2015,2015,2016,2016,2016
DNK,Denmark,31.9,54.3,32.6,501.9369,511.0876,499.8146,0.883604642,0.919505285,0.818530933,2014,2014,2014,2015,2015,2015,2016,2016,2016
ESP,Spain,26.8,44,19.8,492.7861,485.8432,495.5764,0.516116754,0.648143712,0.515508286,2014,2014,2014,2015,2015,2015,2016,2016,2016
EST,Estonia,28.9,58.8,25.6,534.1937,519.5291,519.1429,0.635202688,0.837895995,0.673252862,2014,2014,2014,2015,2015,2015,2016,2016,2016
FIN,Finland,50.6,63,21.7,530.6612,511.0769,526.4247,0.886746189,0.893668182,0.83598553,2014,2014,2014,2015,2015,2015,2016,2016,2016
FRA,France,18.3,36.1,27.2,494.9776,492.9204,499.3061,0.699268243,0.743325135,0.513340718,2014,2014,2014,2015,2015,2015,2016,2016,2016
GBR,United Kingdom,38.3,53.2,29.1,509.2215,492.4785,497.9719,0.75834647,0.877685062,0.67126957,2014,2014,2014,2015,2015,2015,2016,2016,2016
GRC,Greece,51.4,105.9,26,454.8288,453.6299,467.0395,0.439002253,0.614053942,0.406260348,2014,2014,2014,2015,2015,2015,2016,2016,2016
HUN,Hungary,53,111.7,31.3,476.7475,476.8309,469.5233,0.477095147,0.501365191,0.715889735,2014,2014,2014,2015,2015,2015,2016,2016,2016
IRL,Ireland,56.9,53.2,32.5,502.5751,503.722,520.8148,,,,2014,2014,2014,2015,2015,2015,2016,2016,2016
ISL,Iceland,50.6,60.3,30.93333333,473.2301,488.0332,481.5255,,,,2014,2014,2014,2015,2015,2015,2016,2016,2016
ISR,Israel,21.2,39.7,31.6,466.5528,469.6695,478.9606,,,,2014,2014,2014,2015,2015,2015,2016,2016,2016
ITA,Italy,32.2,67.2,26.7,480.5468,489.7287,484.758,0.41987755,0.736393828,0.396988244,2014,2014,2014,2015,2015,2015,2016,2016,2016
JPN,Japan,18.9,54.1,14.2,538.3948,532.4399,515.9585,0.892045468,0.784053104,0.782337115,2014,2014,2014,2015,2015,2015,2016,2016,2016
KOR,Korea,26.4,71.6,8.2,515.8099,524.1062,517.4367,0.861551129,0.77061198,0.614197971,2014,2014,2014,2015,2015,2015,2016,2016,2016
LUX,Luxembourg,29.2,42,28.36666667,482.8064,485.7706,481.4391,,,,2014,2014,2014,2015,2015,2015,2016,2016,2016
LVA,Latvia,44.7,185.2,27,490.225,482.3051,487.7581,,,,2014,2014,2014,2015,2015,2015,2016,2016,2016
MEX,Mexico,124.7,57.9,14.1,415.7099,408.0235,423.2765,0.39711377,0.493812324,0.330768923,2014,2014,2014,2015,2015,2015,2016,2016,2016
NLD,Netherlands,30.5,51.2,30.6,508.5748,512.2528,502.9591,0.88450779,0.951710908,0.663524196,2014,2014,2014,2015,2015,2015,2016,2016,2016
NOR,Norway,44.5,47,22.3,498.4811,501.7298,513.1912,0.922987607,0.949118452,0.768067909,2014,2014,2014,2015,2015,2015,2016,2016,2016
NZL,New Zealand,59.1,63.3,27,513.3035,495.2233,509.2707,0.721230007,0.843981335,0.716224589,2014,2014,2014,2015,2015,2015,2016,2016,2016
OECD,OECD,42.48285714,65.95428571,25.36176471,493.2017,490.2039057,492.5489057,0.698770417,0.766098596,0.63607748,2014,2014,2014,2015,2015,2015,2016,2016,2016
POL,Poland,33.8,79.9,25.4,501.4353,504.4693,505.6971,0.604388483,0.698384829,0.625406295,2014,2014,2014,2015,2015,2015,2016,2016,2016
PRT,Portugal,34.2,85.4,22.4,501.1001,491.627,498.1289,0.505983319,0.777505417,0.423308067,2014,2014,2014,2015,2015,2015,2016,2016,2016
SVK,Slovak Republic,44.4,113.5,29.3,460.7749,475.2301,452.5143,,,,2014,2014,2014,2015,2015,2015,2016,2016,2016
SVN,Slovenia,40,91.6,31.5,512.8636,509.9196,505.2159,0.54462122,0.61858476,0.56660095,2014,2014,2014,2015,2015,2015,2016,2016,2016
SWE,Sweden,45.5,51.3,22,493.4224,493.9181,500.1556,0.908850304,0.880644622,0.86460733,2014,2014,2014,2015,2015,2015,2016,2016,2016
TUR,Turkey,97.6,100.8,13.2,425.4895,420.454,428.3351,0.499529784,0.248192675,0.471885339,2014,2014,2014,2015,2015,2015,2016,2016,2016
USA,United States,37.2,40.9,23.7,496.2424,469.6285,496.9351,0.663282789,0.747886548,0.621156444,2014,2014,2014,2015,2015,2015,2016,2016,2016
